,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,3.47945,3.46201,2.6042,3.45446,3.69522,3.2558,4.22836,4.05887,,
ALB,,,,3.5393,,3.43797,3.96209,3.61172,,
DZA,,,,,,,,,,
ASM,,,,,,,,,,
AND,2.97663,2.98706,,2.50616,3.07421,3.28035,3.23707,3.21709,3.24672,3.15162
AGO,3.42132,,,,,,,,,
ATG,,,,,,,,,,
ARG,5.01971,5.29063,5.34583,5.43661,5.36144,5.77611,5.54549,5.46223,,
ARM,3.249,3.14385,2.77248,2.65018,2.24724,2.80591,2.75812,2.70759,,
ABW,6.92927,6.11913,6.54906,6.50538,5.90521,5.97571,5.52415,,,
AUS,5.55006,5.07451,4.869,5.22974,5.16477,5.31127,5.27678,5.12425,,
AUT,5.70048,5.59227,5.4804,5.54711,5.44762,5.45658,5.48435,5.35804,,
AZE,2.78062,2.43564,2.06763,2.44213,2.63304,2.95168,2.90341,2.47382,2.45543,
BHS,,,,,,,,,,
BHR,,,2.64531,2.47689,2.46746,2.66808,,2.32781,,
BGD,,2.1327,2.1755,1.96616,,,1.53554,,,1.32632
BRB,6.0544,,5.26274,5.14899,6.1435,,4.95139,4.36638,,
BLR,5.22004,4.68479,4.95964,5.00942,4.81831,4.78752,4.94655,4.79499,,
BEL,6.44259,6.43199,,6.63053,6.59047,6.45157,6.45954,6.41228,,
BLZ,6.71981,,,6.42536,6.61473,6.88889,7.28477,7.50989,7.56149,
BEN,3.67997,,3.56202,3.32751,3.16179,3.17298,2.8991,3.53559,2.93397,
BMU,2.64421,,,,1.78285,1.6986,,1.50039,,
BTN,4.12473,4.76523,,5.72275,6.0449,7.5901,6.99333,7.22574,6.85084,
BOL,,,,,,,,,,
BIH,,,,,,,,,,
BWA,,,,,,,,,,
BRA,5.6488,5.73741,5.8551,5.83885,5.94848,6.24106,6.31404,6.32255,,
VGB,3.817,,,,,5.13479,,2.35899,2.46599,
BRN,2.04661,3.3221,2.88959,,3.35319,,4.42541,,,
BGR,3.88239,3.56643,3.49485,4.0742,,,,4.0925,,
BFA,3.50223,3.98515,3.60316,4.08344,4.0533,3.67009,,5.60347,5.38379,
BDI,6.77525,6.31925,6.16786,5.99536,6.78452,6.37054,4.692,4.76202,5.07865,
CPV,5.56729,5.04361,,5.00144,4.96387,5.26691,5.28879,5.18175,,
KHM,1.53379,1.51069,1.5609,2.05054,1.90939,,,,2.16286,
CMR,2.99366,2.76677,2.69718,2.76802,2.68713,2.76805,2.65423,3.15482,3.1312,
CAN,5.36993,5.27444,,,,,,,,
CYM,,,,,,,,,,
CAF,1.11761,1.10792,,,,,,,,
TCD,1.98194,2.2579,2.20615,2.85071,,,,2.45482,,
CHL,4.16209,4.04519,,4.52943,4.73095,4.87531,5.34201,5.41946,,
CHN,,,,,,,,,,
COL,4.83383,4.46608,4.37039,4.87855,4.62946,4.47039,4.47721,4.53551,4.45749,
COM,,2.83045,2.74784,2.38276,2.74473,2.54506,,,,
COD,1.52498,,,2.06221,1.95143,2.17044,2.11869,1.45495,,
COG,6.22079,,,,4.0172,4.56147,,5.46505,3.51105,
CRI,6.63445,6.45535,6.68984,6.84934,6.86952,7.08254,7.09768,7.31572,6.97857,7.04876
CIV,4.55346,4.13755,4.65411,4.729,4.57743,3.49416,3.97232,3.80348,3.25603,
HRV,4.24204,4.15011,,4.56487,,,,3.91713,,
CUB,12.83731,,,,,,,,,
CYP,6.5428,6.53854,,6.48378,6.4485,6.34636,6.1638,5.77719,,
CZE,4.06446,4.27214,4.25086,4.09089,3.99462,5.78885,5.58738,3.85402,,
DNK,8.55955,8.48486,7.23782,8.49443,7.63485,,,7.81608,,
DJI,4.49022,,,,,3.59024,3.92439,3.74856,3.62774,
DMA,,,,,,3.40858,,,,5.57345
DOM,,,,,,,,,,
ECU,4.50743,4.72689,4.64307,5.00464,5.26099,4.9987,,,,
EGY,,,,,,,,,,
SLV,4.04807,3.8985,3.71247,3.80149,3.82416,3.90988,3.82524,3.72523,3.59242,
GNQ,,,,,,,,,,
ERI,,,,,,,,,,
EST,5.47338,4.96992,4.68269,4.81267,5.36708,5.10685,5.17054,4.97338,,
SWZ,6.11837,6.86433,,,7.07032,,,,,
ETH,4.49659,5.48576,5.56678,4.49855,4.60202,4.73792,,,,
FRO,,,,,,,,,,
FJI,,4.17306,,3.88289,,,,,,
FIN,6.50445,6.44505,7.14804,7.12404,7.10237,7.03208,6.85153,6.37621,,
FRA,,,,,,,,5.4516,,
PYF,,,,,,,,,,
GAB,3.07809,2.98746,3.0134,3.02971,2.66667,,,,,
GMB,2.56322,2.50117,2.63757,1.81839,2.23094,2.16003,2.02443,,2.4203,
GEO,,2.57614,1.9061,,,,3.59387,3.57443,3.52106,
DEU,4.94368,4.82487,4.95658,4.96111,4.93962,4.83498,4.84022,4.90512,,
GHA,5.5406,8.14097,7.91914,4.6071,4.49182,4.51089,4.48683,3.61798,3.98944,
GIB,,,,,,,,,,
GRC,,,,,,,,,,
GRL,,,,,,,,,,
GRD,,,,,,,,3.1738,,
GUM,,,,,,,,,,
GTM,2.80306,2.92014,2.95786,2.88809,2.98562,3.03033,2.94474,2.95182,3.14093,3.2122
GIN,2.55119,2.28742,1.83371,2.63421,2.42281,2.51714,2.54456,2.31765,2.31594,
GNB,1.86082,1.85786,2.00106,2.13249,,,,,,
GUY,3.63855,3.59204,3.18242,,5.84796,5.21483,6.061,6.23007,5.49358,
HTI,,,,,3.02452,3.15723,2.44959,2.68945,2.78047,
HND,,,,5.87493,7.09012,6.41297,,,6.06746,
HKG,3.51003,3.41822,3.50961,3.76032,3.57255,3.26212,3.29265,3.3101,3.32652,3.81058
HUN,4.76121,4.59011,4.16386,4.19773,4.61743,4.51866,4.65539,4.6671,,
ISL,6.97848,6.81823,7.59636,7.49122,7.68858,7.51291,7.49521,7.65822,,
IND,3.37769,3.79618,3.8675,3.84467,,,,,,
IDN,2.81228,3.18944,3.40748,3.35904,3.28801,3.5836,,,,
IRN,3.70918,3.48497,3.16859,3.06795,2.80135,2.79739,3.36576,3.7904,3.95536,
IRQ,,,,,,,,,,
IRL,6.03804,5.85826,5.76573,5.33461,4.88139,3.75829,3.71973,3.50686,,
IMN,,,,,,,,,,
ISR,5.53535,5.56688,5.69981,5.88489,5.79265,5.8673,5.85713,6.09262,,
ITA,4.33412,4.11568,4.05602,4.14367,4.06128,4.07363,3.81579,4.04494,,
JAM,6.3706,6.26664,6.11246,6.25108,6.01654,5.45577,5.31508,5.26062,5.41478,5.16919
JPN,3.6395,3.64258,3.69226,3.66538,3.59059,,3.18618,3.18218,,
JOR,,,,,,,3.51412,3.28405,3.03435,3.07253
KAZ,,,,,,2.78858,2.9781,2.75082,2.61595,
KEN,5.50822,5.33529,5.50904,5.41138,5.28021,5.27134,5.36267,5.36668,5.30625,
KIR,,,,,,,,,,
PRK,,,,,,,,,,
KOR,,,,,,,4.3331,,,
KWT,,,,,,,,,,
KGZ,5.81883,6.79062,7.38423,6.7802,5.5316,5.98551,6.58615,6.02619,,
LAO,1.70979,1.70802,1.82147,3.23381,2.93781,,,,,
LVA,5.07271,4.93298,6.5825,6.9804,5.2749,5.31413,4.71299,4.39712,,
LBN,1.61331,1.65252,2.14809,2.43245,,,,,,
LSO,,,,,,,,7.96332,6.98519,
LBR,,,1.77712,1.73466,2.2791,,,2.76128,2.58412,
LBY,,,,,,,,,,
LIE,,2.55604,,,,,,,,
LTU,5.31274,5.12709,4.76923,4.6095,4.49106,4.22989,4.00394,3.81283,,
LUX,,,4.09041,,4.00789,3.9182,,3.56959,,
MAC,2.6295,2.68519,3.33736,2.04986,2.03206,2.9817,3.07791,2.68989,2.7387,
MDG,,2.38168,2.34067,1.77694,2.38123,2.21012,2.68719,,2.82549,
MWI,3.5398,4.15262,,5.41617,4.83984,5.60866,4.74857,4.03133,4.71484,
MYS,4.96645,5.76294,5.73903,5.4812,5.21264,4.89487,4.75191,4.67757,4.48126,4.16319
MDV,4.11747,3.5066,3.76038,3.80012,3.47046,4.36655,4.09971,,,
MLI,3.34389,3.75423,3.47949,3.28465,3.64807,3.8015,3.09609,3.78731,,
MLT,6.45489,7.79612,6.52243,7.87614,7.20495,5.21635,5.20754,4.82438,,
MHL,,,,,,,,,,
MRT,,2.33102,2.15821,2.29354,,,1.94406,,,1.89546
MUS,3.55147,3.33207,3.4182,3.61579,4.91695,4.88667,5.0136,5.02313,4.83459,4.71935
MEX,5.15922,5.10565,5.1031,4.69605,5.26062,5.23524,4.90949,4.52282,,
FSM,,,,,,12.40792,,,,
MDA,7.5923,7.13638,6.98339,,6.26602,,5.60845,5.61844,5.43973,
MCO,1.31735,1.58989,1.78004,1.3344,1.02195,,1.37093,1.45793,,
MNG,4.6451,4.60903,5.19521,4.94077,4.71485,4.17699,5.18061,4.08859,,
MNE,,,,,,,,,,
MAR,,,,,,,,,,
MOZ,,,5.67216,6.11533,,,5.86504,5.50556,5.49985,
MMR,,0.78744,,,,,,2.08768,1.92289,1.93208
NAM,8.34961,,,,,,,,,
NRU,,,,,,,,,,
NPL,3.63172,3.84262,3.76117,3.47465,3.99302,3.70359,4.44099,5.51837,5.10207,
NLD,5.48909,5.46304,5.41022,5.52656,5.4589,5.34816,5.4796,5.1751,,
NCL,,,,,,,,,,
NZL,7.00129,6.93488,7.15063,6.69998,6.34445,6.33739,6.43335,6.28367,,
NIC,4.48422,,,,4.08328,4.07843,4.08115,4.35768,,
NER,2.74471,3.10248,3.20939,3.71429,5.12745,4.49468,2.99045,2.58165,3.54721,
NGA,,,,,,,,,,
MKD,,,,,,,,,,
MNP,,,,,,,,,,
NOR,6.74634,6.45452,7.3747,7.48535,7.69504,7.56933,8.03055,7.91198,,
OMN,,,,4.97011,,,,,,
PAK,2.28687,2.22175,2.13628,2.49344,2.46593,2.65002,3.00292,2.89952,,
PLW,,,,,,,,,,
PAN,,3.15901,,,,,,,,
PNG,,,,,,,,1.96493,1.93089,
PRY,2.77294,3.69728,3.66754,,,,3.43834,,,
PER,2.8673,2.6635,2.92276,3.29729,3.69599,3.96933,3.81317,3.93131,3.72316,3.84729
PHL,,,,,,,,,,
POL,5.06843,4.82012,4.81181,4.94011,4.90918,4.81226,4.63922,4.55957,,
PRT,5.41249,5.12333,4.94941,5.27097,5.124,4.88554,,5.01561,,
PRI,,,,6.48108,6.07266,,,,,
QAT,4.53966,4.01224,3.50744,4.07384,3.60535,,,2.86383,,2.69535
ROU,3.49538,3.05943,2.9541,3.04938,3.12642,3.10676,2.97411,3.09539,,
RUS,,,3.7931,3.76383,4.01388,3.83403,3.76044,4.68991,,
RWA,4.61529,4.36722,4.40366,4.72194,4.17978,3.63234,3.4193,3.11083,3.07375,
WSM,,,,,,,4.16222,,,
SMR,2.62884,2.70296,,,,,,3.37033,3.59286,
STP,9.65147,,6.33951,5.93969,3.74883,3.8645,5.17307,5.08416,5.14907,
SAU,,,,,,,,,,
SEN,5.18252,4.87895,4.73316,5.6725,5.72021,5.45638,5.11309,4.62497,4.83328,
SRB,4.32781,4.23836,4.16421,,3.92698,3.78902,3.64027,3.71509,3.58539,
SYC,,3.60644,2.61393,3.60813,4.08368,,4.42102,,,
SLE,2.58864,2.6689,2.87204,2.37981,2.66292,,3.06023,4.63577,6.98963,7.70228
SGP,3.08044,3.03077,3.07086,2.85435,,,,,,
SVK,4.08471,3.92964,3.8677,4.07649,4.22136,4.59954,3.91171,3.93913,,
SVN,5.54546,5.54126,5.62023,5.40573,5.2917,4.90953,4.80178,4.78324,,
SLB,9.86063,,,,,,,,,
SOM,,,,,,,,,,
ZAF,5.72174,,,,,5.95619,5.94285,6.11306,6.15899,6.50505
ESP,4.85608,4.89692,4.46934,4.35102,4.30338,4.28657,4.22764,4.20774,,
LKA,1.71774,1.80861,1.49617,1.62107,1.93288,2.22875,3.4492,2.79925,2.12421,
KNA,,,,,,2.64346,,,,
LCA,3.4829,3.58824,3.27299,3.85985,3.88069,3.86773,5.20828,,3.3318,
VCT,5.08523,,,,,,5.7334,5.73196,5.69378,
SDN,,,,,,,,,,
SUR,,,,,,,,,,
SWE,6.52269,6.36692,7.53697,7.61121,7.57373,7.4439,7.61862,7.56883,,
CHE,4.92605,4.96986,5.03337,5.04048,5.05123,5.10057,5.10473,5.13019,,
SYR,,,,,,,,,,
TJK,4.00675,3.93511,4.01803,,,5.23139,,,,
TZA,4.5417,,,,3.38488,,,4.43051,3.69644,
THA,3.50844,4.80555,4.53671,4.12402,,,,,,
TLS,11.10764,10.0757,7.24187,5.66715,7.51547,8.43326,8.05194,7.06049,6.79295,
TGO,4.09635,4.3093,4.7192,4.42365,4.78455,5.1086,4.95558,4.98976,5.36957,
TON,,,,,,,,,,
TTO,,,,,,,,,,
TUN,6.25481,,6.25037,,,6.59601,,,,
TUR,,,,,,,,,,
TKM,,,3.04925,,,,,,,
TCA,,,,,,3.15745,,,2.91435,
TUV,,,,,,,,,,
UGA,1.74151,2.31769,1.81216,1.88643,1.93036,2.34049,2.15536,2.27205,2.13052,
UKR,,6.16237,6.69233,6.67166,5.87494,,5.00978,5.41226,,
ARE,,,,,,,,,,
GBR,5.70324,5.59523,,5.5298,5.599,5.55616,5.4267,5.44209,,
USA,,,,4.93105,4.96174,,,,,
URY,,4.35527,,,,,4.7591,4.8403,5.04759,
UZB,,,,6.09001,6.02527,5.78638,5.66773,5.28134,,
VUT,,,,,4.91083,5.39081,,4.53353,,
VEN,,,,,,,,,,
